order,index,discussion_path,discussion_url,model_id,is_hidden,length,is_non_english
1,17338,stabilityai@stable-diffusion-2-depth\discussion_6.yaml,https://huggingface.co/stabilityai/stable-diffusion-2-depth/discussions/6,stabilityai/stable-diffusion-2-depth,FALSE,291,FALSE
2,4956,Defpoint@Defmix-v2.0\discussion_2.yaml,https://huggingface.co/Defpoint/Defmix-v2.0/discussions/2,Defpoint/Defmix-v2.0,FALSE,92,FALSE
3,11681,migtissera@Synthia-70B-v1.2b\discussion_2.yaml,https://huggingface.co/migtissera/Synthia-70B-v1.2b/discussions/2,migtissera/Synthia-70B-v1.2b,FALSE,226,FALSE
4,16020,Salesforce@codegen-350M-multi\discussion_4.yaml,https://huggingface.co/Salesforce/codegen-350M-multi/discussions/4,Salesforce/codegen-350M-multi,FALSE,870,FALSE
5,15753,runwayml@stable-diffusion-v1-5\discussion_24.yaml,https://huggingface.co/runwayml/stable-diffusion-v1-5/discussions/24,runwayml/stable-diffusion-v1-5,FALSE,348,FALSE
6,4105,ctheodoris@Geneformer\discussion_101.yaml,https://huggingface.co/ctheodoris/Geneformer/discussions/101,ctheodoris/Geneformer,FALSE,3792,FALSE
7,3440,CompVis@stable-diffusion\discussion_8.yaml,https://huggingface.co/CompVis/stable-diffusion/discussions/8,CompVis/stable-diffusion,FALSE,381,FALSE
8,12124,Mitsua@mitsua-diffusion-one\discussion_3.yaml,https://huggingface.co/Mitsua/mitsua-diffusion-one/discussions/3,Mitsua/mitsua-diffusion-one,FALSE,981,FALSE
9,21830,Undi95@Toppy-M-7B\discussion_1.yaml,https://huggingface.co/Undi95/Toppy-M-7B/discussions/1,Undi95/Toppy-M-7B,FALSE,924,FALSE
10,17359,stabilityai@stable-diffusion-2-inpainting\discussion_9.yaml,https://huggingface.co/stabilityai/stable-diffusion-2-inpainting/discussions/9,stabilityai/stable-diffusion-2-inpainting,FALSE,629,FALSE
11,5005,dennlinger@bert-wiki-paragraphs\discussion_1.yaml,https://huggingface.co/dennlinger/bert-wiki-paragraphs/discussions/1,dennlinger/bert-wiki-paragraphs,FALSE,1804,FALSE
12,1825,bigcode@starcoder\discussion_49.yaml,https://huggingface.co/bigcode/starcoder/discussions/49,bigcode/starcoder,FALSE,4875,FALSE
13,8509,ibombonato@swin-age-classifier\discussion_2.yaml,https://huggingface.co/ibombonato/swin-age-classifier/discussions/2,ibombonato/swin-age-classifier,FALSE,821,FALSE
14,12943,neulab@codebert-python\discussion_2.yaml,https://huggingface.co/neulab/codebert-python/discussions/2,neulab/codebert-python,FALSE,741,FALSE
15,7240,google@flan-t5-large\discussion_16.yaml,https://huggingface.co/google/flan-t5-large/discussions/16,google/flan-t5-large,FALSE,558,FALSE
16,22358,Webaverse@Stable-Dreamfusion\discussion_1.yaml,https://huggingface.co/Webaverse/Stable-Dreamfusion/discussions/1,Webaverse/Stable-Dreamfusion,FALSE,187,FALSE
17,11383,microsoft@git-base\discussion_1.yaml,https://huggingface.co/microsoft/git-base/discussions/1,microsoft/git-base,FALSE,570,FALSE
18,21782,Undi95@Mixtral-4x7B-DPO-RPChat-GGUF\discussion_4.yaml,https://huggingface.co/Undi95/Mixtral-4x7B-DPO-RPChat-GGUF/discussions/4,Undi95/Mixtral-4x7B-DPO-RPChat-GGUF,FALSE,273,FALSE
19,15328,Qwen@Qwen-Audio\discussion_3.yaml,https://huggingface.co/Qwen/Qwen-Audio/discussions/3,Qwen/Qwen-Audio,FALSE,3214,FALSE
20,9173,JCTN@pygmalion-13b-4bit-128g\discussion_1.yaml,https://huggingface.co/JCTN/pygmalion-13b-4bit-128g/discussions/1,JCTN/pygmalion-13b-4bit-128g,FALSE,2304,FALSE
21,4463,darkVOYAGE@dvMJv4\discussion_1.yaml,https://huggingface.co/darkVOYAGE/dvMJv4/discussions/1,darkVOYAGE/dvMJv4,FALSE,2002,FALSE
22,20046,TheBloke@Wizard-Vicuna-30B-Uncensored-GPTQ\discussion_15.yaml,https://huggingface.co/TheBloke/Wizard-Vicuna-30B-Uncensored-GPTQ/discussions/15,TheBloke/Wizard-Vicuna-30B-Uncensored-GPTQ,FALSE,2706,FALSE
23,2425,bucketresearch@politicalBiasBERT\discussion_2.yaml,https://huggingface.co/bucketresearch/politicalBiasBERT/discussions/2,bucketresearch/politicalBiasBERT,FALSE,321,FALSE
24,18455,TheBloke@deepseek-coder-6.7B-base-GGUF\discussion_1.yaml,https://huggingface.co/TheBloke/deepseek-coder-6.7B-base-GGUF/discussions/1,TheBloke/deepseek-coder-6.7B-base-GGUF,FALSE,1154,FALSE
25,18600,TheBloke@FashionGPT-70B-V1.1-GPTQ\discussion_1.yaml,https://huggingface.co/TheBloke/FashionGPT-70B-V1.1-GPTQ/discussions/1,TheBloke/FashionGPT-70B-V1.1-GPTQ,FALSE,246,FALSE
