order,index,discussion_path,discussion_url,model_id,is_hidden,length,is_non_english,contains_question_run_1,contains_question_run_2,contains_question_run_3,contains_question_final_class
1,17338,stabilityai@stable-diffusion-2-depth\discussion_6.yaml,https://huggingface.co/stabilityai/stable-diffusion-2-depth/discussions/6,stabilityai/stable-diffusion-2-depth,False,291,False,yes,no,yes,yes
2,4956,Defpoint@Defmix-v2.0\discussion_2.yaml,https://huggingface.co/Defpoint/Defmix-v2.0/discussions/2,Defpoint/Defmix-v2.0,False,92,False,yes,yes,yes,yes
3,11681,migtissera@Synthia-70B-v1.2b\discussion_2.yaml,https://huggingface.co/migtissera/Synthia-70B-v1.2b/discussions/2,migtissera/Synthia-70B-v1.2b,False,226,False,no,no,no,no
4,16020,Salesforce@codegen-350M-multi\discussion_4.yaml,https://huggingface.co/Salesforce/codegen-350M-multi/discussions/4,Salesforce/codegen-350M-multi,False,870,False,no,no,no,no
5,15753,runwayml@stable-diffusion-v1-5\discussion_24.yaml,https://huggingface.co/runwayml/stable-diffusion-v1-5/discussions/24,runwayml/stable-diffusion-v1-5,False,348,False,yes,yes,yes,yes
6,4105,ctheodoris@Geneformer\discussion_101.yaml,https://huggingface.co/ctheodoris/Geneformer/discussions/101,ctheodoris/Geneformer,False,3792,False,yes,yes,yes,yes
7,3440,CompVis@stable-diffusion\discussion_8.yaml,https://huggingface.co/CompVis/stable-diffusion/discussions/8,CompVis/stable-diffusion,False,381,False,no,yes,yes,yes
8,12124,Mitsua@mitsua-diffusion-one\discussion_3.yaml,https://huggingface.co/Mitsua/mitsua-diffusion-one/discussions/3,Mitsua/mitsua-diffusion-one,False,981,False,yes,yes,yes,yes
9,21830,Undi95@Toppy-M-7B\discussion_1.yaml,https://huggingface.co/Undi95/Toppy-M-7B/discussions/1,Undi95/Toppy-M-7B,False,924,False,no,no,no,no
10,17359,stabilityai@stable-diffusion-2-inpainting\discussion_9.yaml,https://huggingface.co/stabilityai/stable-diffusion-2-inpainting/discussions/9,stabilityai/stable-diffusion-2-inpainting,False,629,False,no,yes,no,no
11,5005,dennlinger@bert-wiki-paragraphs\discussion_1.yaml,https://huggingface.co/dennlinger/bert-wiki-paragraphs/discussions/1,dennlinger/bert-wiki-paragraphs,False,1804,False,yes,yes,yes,yes
12,1825,bigcode@starcoder\discussion_49.yaml,https://huggingface.co/bigcode/starcoder/discussions/49,bigcode/starcoder,False,4875,False,yes,yes,yes,yes
13,8509,ibombonato@swin-age-classifier\discussion_2.yaml,https://huggingface.co/ibombonato/swin-age-classifier/discussions/2,ibombonato/swin-age-classifier,False,821,False,no,no,no,no
14,12943,neulab@codebert-python\discussion_2.yaml,https://huggingface.co/neulab/codebert-python/discussions/2,neulab/codebert-python,False,741,False,yes,yes,yes,yes
15,7240,google@flan-t5-large\discussion_16.yaml,https://huggingface.co/google/flan-t5-large/discussions/16,google/flan-t5-large,False,558,False,yes,yes,yes,yes
16,22358,Webaverse@Stable-Dreamfusion\discussion_1.yaml,https://huggingface.co/Webaverse/Stable-Dreamfusion/discussions/1,Webaverse/Stable-Dreamfusion,False,187,False,yes,yes,no,yes
17,11383,microsoft@git-base\discussion_1.yaml,https://huggingface.co/microsoft/git-base/discussions/1,microsoft/git-base,False,570,False,yes,yes,yes,yes
18,21782,Undi95@Mixtral-4x7B-DPO-RPChat-GGUF\discussion_4.yaml,https://huggingface.co/Undi95/Mixtral-4x7B-DPO-RPChat-GGUF/discussions/4,Undi95/Mixtral-4x7B-DPO-RPChat-GGUF,False,273,False,no,no,no,no
19,15328,Qwen@Qwen-Audio\discussion_3.yaml,https://huggingface.co/Qwen/Qwen-Audio/discussions/3,Qwen/Qwen-Audio,False,3214,False,no,no,no,no
20,9173,JCTN@pygmalion-13b-4bit-128g\discussion_1.yaml,https://huggingface.co/JCTN/pygmalion-13b-4bit-128g/discussions/1,JCTN/pygmalion-13b-4bit-128g,False,2304,False,yes,yes,yes,yes
21,4463,darkVOYAGE@dvMJv4\discussion_1.yaml,https://huggingface.co/darkVOYAGE/dvMJv4/discussions/1,darkVOYAGE/dvMJv4,False,2002,False,yes,yes,yes,yes
22,20046,TheBloke@Wizard-Vicuna-30B-Uncensored-GPTQ\discussion_15.yaml,https://huggingface.co/TheBloke/Wizard-Vicuna-30B-Uncensored-GPTQ/discussions/15,TheBloke/Wizard-Vicuna-30B-Uncensored-GPTQ,False,2706,False,yes,yes,yes,yes
23,2425,bucketresearch@politicalBiasBERT\discussion_2.yaml,https://huggingface.co/bucketresearch/politicalBiasBERT/discussions/2,bucketresearch/politicalBiasBERT,False,321,False,no,no,no,no
24,18455,TheBloke@deepseek-coder-6.7B-base-GGUF\discussion_1.yaml,https://huggingface.co/TheBloke/deepseek-coder-6.7B-base-GGUF/discussions/1,TheBloke/deepseek-coder-6.7B-base-GGUF,False,1154,False,no,no,no,no
25,18600,TheBloke@FashionGPT-70B-V1.1-GPTQ\discussion_1.yaml,https://huggingface.co/TheBloke/FashionGPT-70B-V1.1-GPTQ/discussions/1,TheBloke/FashionGPT-70B-V1.1-GPTQ,False,246,False,no,no,no,no
26,19768,TheBloke@StableBeluga2-70B-GPTQ\discussion_12.yaml,https://huggingface.co/TheBloke/StableBeluga2-70B-GPTQ/discussions/12,TheBloke/StableBeluga2-70B-GPTQ,False,247,False,yes,yes,yes,yes
27,21875,unum-cloud@uform\discussion_1.yaml,https://huggingface.co/unum-cloud/uform/discussions/1,unum-cloud/uform,False,2977,False,yes,yes,yes,yes
28,3794,CompVis@stable-diffusion-v1-4\discussion_236.yaml,https://huggingface.co/CompVis/stable-diffusion-v1-4/discussions/236,CompVis/stable-diffusion-v1-4,False,77,False,no,no,no,no
29,17172,stabilityai@sd-x2-latent-upscaler\discussion_2.yaml,https://huggingface.co/stabilityai/sd-x2-latent-upscaler/discussions/2,stabilityai/sd-x2-latent-upscaler,False,1464,False,yes,yes,yes,yes
30,11607,microsoft@swin-large-patch4-window12-384-in22k\discussion_1.yaml,https://huggingface.co/microsoft/swin-large-patch4-window12-384-in22k/discussions/1,microsoft/swin-large-patch4-window12-384-in22k,False,283,False,yes,yes,yes,yes
31,2078,bigscience@bloom\discussion_80.yaml,https://huggingface.co/bigscience/bloom/discussions/80,bigscience/bloom,False,428,False,yes,yes,yes,yes
32,12267,mmnga@rinna-bilingual-gpt-neox-4b-ggml\discussion_1.yaml,https://huggingface.co/mmnga/rinna-bilingual-gpt-neox-4b-ggml/discussions/1,mmnga/rinna-bilingual-gpt-neox-4b-ggml,False,174,False,yes,yes,yes,yes
33,7083,Gazoche@stable-diffusion-gundam\discussion_1.yaml,https://huggingface.co/Gazoche/stable-diffusion-gundam/discussions/1,Gazoche/stable-diffusion-gundam,False,401,False,yes,yes,yes,yes
34,17348,stabilityai@stable-diffusion-2-inpainting\discussion_24.yaml,https://huggingface.co/stabilityai/stable-diffusion-2-inpainting/discussions/24,stabilityai/stable-diffusion-2-inpainting,False,5623,False,no,no,no,no
35,9936,laion@CLIP-ViT-B-32-xlm-roberta-base-laion5B-s13B-b90k\discussion_2.yaml,https://huggingface.co/laion/CLIP-ViT-B-32-xlm-roberta-base-laion5B-s13B-b90k/discussions/2,laion/CLIP-ViT-B-32-xlm-roberta-base-laion5B-s13B-b90k,False,3277,False,yes,yes,yes,yes
36,4053,crishhh@animatediff_controlnet\discussion_2.yaml,https://huggingface.co/crishhh/animatediff_controlnet/discussions/2,crishhh/animatediff_controlnet,False,943,False,yes,yes,yes,yes
37,8947,intfloat@e5-large-v2\discussion_13.yaml,https://huggingface.co/intfloat/e5-large-v2/discussions/13,intfloat/e5-large-v2,False,1514,False,yes,yes,yes,yes
38,8386,HuggingFaceM4@idefics-9b-instruct\discussion_7.yaml,https://huggingface.co/HuggingFaceM4/idefics-9b-instruct/discussions/7,HuggingFaceM4/idefics-9b-instruct,False,2422,False,yes,yes,yes,yes
39,12948,neuralmind@bert-base-portuguese-cased\discussion_2.yaml,https://huggingface.co/neuralmind/bert-base-portuguese-cased/discussions/2,neuralmind/bert-base-portuguese-cased,False,1263,False,no,yes,no,no
40,8908,internlm@internlm-chat-20b-4bit\discussion_1.yaml,https://huggingface.co/internlm/internlm-chat-20b-4bit/discussions/1,internlm/internlm-chat-20b-4bit,False,578,False,yes,yes,yes,yes
41,15471,relaxml@Llama-1-30b-hf\discussion_2.yaml,https://huggingface.co/relaxml/Llama-1-30b-hf/discussions/2,relaxml/Llama-1-30b-hf,False,100,False,yes,yes,yes,yes
42,10140,lgaalves@tinyllama-1.1b-chat-v0.3_platypus\discussion_2.yaml,https://huggingface.co/lgaalves/tinyllama-1.1b-chat-v0.3_platypus/discussions/2,lgaalves/tinyllama-1.1b-chat-v0.3_platypus,False,338,False,yes,yes,yes,yes
43,10674,LoneStriker@lzlv_70b_fp16_hf-4.65bpw-h6-exl2-2\discussion_1.yaml,https://huggingface.co/LoneStriker/lzlv_70b_fp16_hf-4.65bpw-h6-exl2-2/discussions/1,LoneStriker/lzlv_70b_fp16_hf-4.65bpw-h6-exl2-2,False,1121,False,yes,yes,yes,yes
44,13876,openai-community@openai-gpt\discussion_2.yaml,https://huggingface.co/openai-community/openai-gpt/discussions/2,openai-community/openai-gpt,False,511,False,yes,yes,yes,yes
45,20457,thibaud@controlnet-sd21-openposev2-diffusers\discussion_1.yaml,https://huggingface.co/thibaud/controlnet-sd21-openposev2-diffusers/discussions/1,thibaud/controlnet-sd21-openposev2-diffusers,False,223,False,yes,yes,yes,yes
46,9097,jakariamd@opp_115_privacy_contact_information\discussion_3.yaml,https://huggingface.co/jakariamd/opp_115_privacy_contact_information/discussions/3,jakariamd/opp_115_privacy_contact_information,False,228,False,yes,yes,yes,yes
47,18774,TheBloke@koala-7B-GPTQ\discussion_5.yaml,https://huggingface.co/TheBloke/koala-7B-GPTQ/discussions/5,TheBloke/koala-7B-GPTQ,False,2481,False,yes,yes,yes,yes
48,16466,segmind@SSD-1B\discussion_18.yaml,https://huggingface.co/segmind/SSD-1B/discussions/18,segmind/SSD-1B,False,13410,False,no,no,no,no
49,4159,ctheodoris@Geneformer\discussion_207.yaml,https://huggingface.co/ctheodoris/Geneformer/discussions/207,ctheodoris/Geneformer,False,6548,False,yes,yes,yes,yes
50,4383,dalle-mini@vqgan_imagenet_f16_16384\discussion_5.yaml,https://huggingface.co/dalle-mini/vqgan_imagenet_f16_16384/discussions/5,dalle-mini/vqgan_imagenet_f16_16384,False,698,False,no,no,no,no
