"topic_id	custom_label",
-1,Outlier
"0	",Stable Diffusion Web UI Tutorial
"1	",GGUF Model Version Request
"2	",Model Loading Error 
"3	",GPU Memory Allocation Issue
"4	",Maximum Context Length
"5	",Tokenizer File
"6	",Model Training Dataset
"7	",Multilingual Support
"8	",Model License
"9	",Prompt Design
"10	",Inference API Error 
"11	",Model Loading Error in WebUI
"12	",Multilingual Audio Transcription
"13	",Sentence Embeddings for Semantic Similarity
"14	",Model Evaluation and Benchmarking
"15	",Different Parameter Version Request 
"16	",Fine-tune Model on Dataset 
"17	",Model Deployment Error
"18	",Optimizing Inference Time
"19	",Training Code Sharing
"20	",Model Download Issues
"21	",Model Merging Process
"22	",Geneformer Perturbation Error
"23	",Model Discrepancy Investigation
"24	",LoRa Model Fusion
"25	",How to Use Model
"26	",DOI Request
"27	",Mistral-7B Fine-Tuning
"28	",Prompt for Question Answering
"29	",ONNX Model Export
"30	",NSFW Censorship Analysis
